Aculus	Aculo
uideo	uidi
uideo	uidimus
uideo	uidit
uia	uiis
uinco	uinci
uiolentia	uiolentiam
uiolentus	uiolentum
uis	uires
uirgo	uirgine
uir	uiri
uis	uirium
uir	uiro
uirtuosus	uirtuosius
uirtus	uirtute
uirtus	uirtutem
uirtus	uirtutes
uirtus	uirtuti
uirtus	uirtutibus
uirtus	uirtutis
uirtus	uirtutum
uir	uirum
uideo	uisa
uisibilis	uisibiles
uisibilis	uisibili
uisibilis	uisibilia
uisibilis	uisibilibus
uisibilis	uisibilium
uisio	uisione
uisio	uisionis
uideo	uisis
uisiuus	uisiua
uisiuus	uisiuae
uita	uitae
uita	uitam
uito	uitare
vitis	uitem
vitis	uites
uitium	uitia
vitis	uitibus
uiuo	uiuant
uiuo	uiuat
uiuo	uiuendi
uiuo	uiuens
uiuo	uiuente
uiuo	uiuentia
uiuo	uiuentibus
uiuo	uiuentis
uiuo	uiuere
uiuo	uiuet
uiuo	uiuit
hic	uius
uiuo	uiuunt
ultimus	ult.
ultimus	ultimus
ultra	ultra
humilis	umilis
unusquisque	unamquamque
unusquisque	unaquaeque
unusquisque	unaquaque
hic	unc
unio	unita
unio	unitae
unio	unitum
unio	unitus
uniuersus	uniuersa
uniuersalis	uniuersale
uniuersalis	uniuersalem
uniuersalis	uniuersales
uniuersalis	uniuersali
uniuersalis	uniuersalia
uniuersalis	uniuersalibus
uniuersalis	uniuersalior
uniuersalis	uniuersaliores
uniuersalis	uniuersalioris
uniuersalis	uniuersalium
uniuersus	uniuersi
uniuersitas	uniuersitate
uniuersus	uniuerso
uniuersus	uniuersorum
uniuersus	uniuersum
uniuocus	uniuoca
uniuocus	uniuocis
uniuocus	uniuocum
uniuersalis	universalis
uniuersus	universis
uniuersus	universo
unusquisque	unoquoque
unusquisque	unumquodque
uos	uobis
uos	uobiscum
uox	uoces
uox	uocibus
uolo	uolebat
uolo	uolendi
uolo	uolendo
uolo	uolens
uolo	uolente
uolo	uolentes
uolo	uolentis
uolo	uolitum
uolo	uoluit
uolo	uolumus
uolo	uolunt
uoluntarius	uoluntaria
uoluntarius	uoluntariae
uoluntarius	uoluntariam
uoluntarius	uoluntariis
uoluntarius	uoluntario
uoluntarius	uoluntarium
uoluntas	uoluntate
uoluntas	uoluntati
uoluntas	uoluntatis
uoluntas	uoluntatum
uoluptas	uoluptatibus
uos	uos
utor	usi
usufructuo	usufructuandi
usufructuo	usufructuandum
ususfructus	usufructum
usufructuo	usumfructuandi
usufructuo	usumfructuandum
ut	ut
utor	utendum
utor	utens
utor	utentes
utrubique	utrobique
utrum	utrum
uterlibet	utrumlibet
uolo	uult
uultus	uultu
ualeo	valentes
uassus	vasso
ve	ve
vehementer	vehementer
uel	vel
vello	vellent
uelut	velut
uindemia	vendemia
uindemia	vendemmia
uendo	vendendi
vendo	vendentes
uenditio	vendictio
uenditio	venditio
uenditio	venditione
uenditio	venditionis
uenerabilis	venerabilis
uenio	veneritis
venio	venero
venio	veniens
venio	venientem
venio	venientes
venio	venturus
uenumdo	venundare
uenumdo	venundavi
uenumdo	venundavit
uerus	veram
uirgareum	vergareis
vereor	veritus
verso	versari
uester	vestre
uester	vestro
vetus	veterem
uicarius	vicarius
uicedominus	vicedomino
uicus	vico
vinco	victis
uidelicet	videlicet
uideo	videmini
video	videns
video	videntes
vidua	vidua
uiganeum	viganeum
uiganeum	viganium
uicesimus	vigensimo
uiginti	vigenti
uicesimus	vigisimo
uino	vinata
uino	vinatam
vinco	vinci
vincio	vinctum
uindemia	vindemmia
uendo	vindo
uinea	vinea
uinea	vinee
uinum	vinu
uirgareum	virgareis
uirgareum	virgariis
uirgareum	virgario
uirtuose	virtuosius
video	visa
uideo	visu
uita	vite
vivo	viventem
uocabulum	vocabulum
voco	vocati
voco	vocatis
voco	vocatus
uocito	vocitatur
volucris	volucres
uolo	voluerimus
uolo	voluero
wadia	vuadia
wadia	vuadiam
volo	vultis
immo	ymo
zelus	zelo
zizania	zizania
greek.expression	καὶ
greek.expression	τὸ
