Agip	AGIP
naftařský	naftařská
nahlas	nahlas
nahlédnutí	nahlédnutí
nahradit	nahradit
nahrazený	nahrazen
nahrazený	nahrazena
nahrazený	nahrazeny
nahrazení	nahrazení
nahrazovat	nahrazovat
nahrazující	nahrazující
nahromaděný	nahromaděné
nahromadění	nahromadění
nahrávat	nahrávat
nahrávat	nahrává
najíst	najedli
najet	najel
najmout	najmout
nakloněný	nakloněni
nakládat	nakládat
nakládání	nakládání
nakoupit	nakoupit
nakupovaný	nakupovaných
nakupování	nakupování
nakupování	nakupováním
nalezený	nalezen
nalezený	nalezena
nalezený	nalezeno
nalezený	nalezeny
nalezení	nalezení
naléhat	naléhají
nalézat	nalézáme
namítat	namítají
namítat	namítá
namířený	namířena
naplněný	naplněn
naplněný	naplněna
naplánovaný	naplánované
naplánovat	naplánovat
naplánovaný	naplánována
naplánovaný	naplánováno
naplňovat	naplňovat
naplňovat	naplňuje
napojit	napojit
napomoci	napomohl
napomáhání	napomáhání
naposledy	naposledy
napovídat	napovídají
napsaný	napsaná
napsaný	napsán
napsaný	napsána
napsaný	napsáno
napáchaný	napáchaných
napřed	napřed
narozený	nar
narazit	narazit
narůst	narostl
narůst	narostly
narozený	narozen
narození	narození
narušený	narušen
narušený	narušené
narušení	narušení
narušovat	narušuje
narušovat	narušují
narušit	naruší
narůstat	narůstají
narůstající	narůstající
narůstající	narůstajícím
narůstat	narůstá
NASA	nasa
nasazený	nasazen
nasazení	nasazením
nasbírat	nasbíral
nasbírat	nasbírala
nasednout	nasedl
nasednout	nasedli
nashledanou	nashledanou
nashromáždit	nashromáždil
nastavovat	nastavovat
nastolený	nastolena
nastolení	nastolení
nastudovat	nastudoval
nastupující	nastupující
nastěhovat	nastěhoval
nastěhovat	nastěhovala
nastěhovat	nastěhovali
natočený	natočen
natočit	natočit
Nature	nature
natáhnout	natáhli
natáčet	natáčet
naukový	naukových
nauka	nauku
navazovat	navazovat
navodit	navodit
navracení	navracení
navrhnout	navrhne
navrhnout	navrhnout
navrhování	navrhování
navrácení	navrácení
Navrátilová	navrátilová
navržený	navržen
navržený	navržena
navržený	navrženo
navržený	navrženy
navýšení	navýšením
navýšit	navýšila
navštívit	navštívit
navštěvovat	navštěvovat
naznačený	naznačeno
naznačený	naznačený
naznačovat	naznačovat
nazvat	nazvala
nazvaný	nazvané
nazvaný	nazvaného
nazvaný	nazvaném
nazvat	nazvat
nazývaný	nazýván
nazývaný	nazýváno
načasování	načasování
nařízený	nařízeno
nařízený	nařízené
nařízení	nařízení
Neal	neal
alkoholický	nealkoholické
alkoholický	nealkoholických
autorizovaný	neautorizovaný
bavit	nebavila
bavit	nebavilo
bavit	nebaví
brát	nebere
brát	neberou
brát	neberu
bezpečný	nebezpečnou
bezpečný	nebezpečná
bezpečný	nebezpečné
bezpečný	nebezpečného
bezpečný	nebezpečný
bezpečný	nebezpečných
bezpečný	nebezpečným
blahý	neblahé
blaze	neblaze
bát	nebojte
bát	nebojím
bát	nebojíme
bát	nebojíte
brát	nebral
brát	nebrala
brát	nebrali
být	nebuďte
bydlet	nebydlel
bydlet	nebydleli
bydlet	nebydlí
bytový	nebytové
bát	nebála
bývat	nebývají
bývat	nebývalo
celý	necelých
celý	necelými
chtít	nechci
chodit	nechodím
chovat	nechová
chtít	nechtěly
chtěný	nechtěné
chvalně	nechvalně
chybět	nechybělo
chápavě	nechápavě
nechávat	nechávají
nechávat	nechával
nechávat	nechávali
nechávat	nechávám
daleký	nedalekého
daleký	nedalekém
dbát	nedbal
nedbalost	nedbalosti
dlouho	nedlouho
dobrovolně	nedobrovolně
dobytný	nedobytné
docházet	nedocházelo
nedodržení	nedodržení
dodržovat	nedodržuje
dohodnout	nedohodnou
nedokonalost	nedokonalosti
dokončený	nedokončené
dokončit	nedokončila
dokázat	nedokážou
dokázat	nedokážu
domnívat	nedomnívá
nedoplatek	nedoplatky
doporučovat	nedoporučují
dorazit	nedorazil
nedorozumění	nedorozumění
dostat	nedostanu
dostatečný	nedostatečnou
dostatečný	nedostatečná
dostatečný	nedostatečné
dostatečný	nedostatečného
dostatečný	nedostatečný
dostatečný	nedostatečným
dostačující	nedostačující
dostupný	nedostupná
dostupný	nedostupné
dostávat	nedostává
dosáhnout	nedosáhl
dosáhnout	nedosáhne
dotknout	nedotklo
dovést	nedovedu
dovolit	nedovolil
dovolit	nedovolila
dovolovat	nedovolují
dozvědět	nedozvěděl
dozvědět	nedozvěděli
dořešený	nedořešené
držet	nedrží
dát	nedám
dávat	nedávali
dávný	nedávnou
dávný	nedávná
dávný	nedávného
dávný	nedávných
dávný	nedávným
dělat	nedělají
dělat	nedělalo
dělat	nedělaly
dělat	nedělat
dělat	nedělám
důstojný	nedůstojné
efektivní	neefektivní
efektivní	neefektivních
ekonomický	neekonomické
existující	neexistující
finanční	nefinančních
formální	neformální
formální	neformálním
fotit	nefotila
fungovat	nefungoval
funkční	nefunkční
hmotný	nehmotného
hmotný	nehmotných
hnout	nehnul
hodlat	nehodlám
hodnotit	nehodnotí
hovořit	nehovořil
hrát	nehraje
hrát	nehrál
hrát	nehráli
nejasnost	nejasnosti
jasný	nejasná
jasný	nejasné
jasný	nejasný
blízký	nejbližší
blízký	nejbližších
blízký	nejbližšího
blízký	nejbližším
blízký	nejbližšími
blízko	nejblíž
jít	nejdou
drahý	nejdražší
drahý	nejdražším
jít	nejdu
jíst	nejedl
jednat	nejednalo
nejednou	nejednou
jednat	nejedná
jet	nejel
jet	nejela
jet	nejeli
jevit	nejeví
jezdit	nejezdil
jezdit	nejezdila
jezdit	nejezdili
jezdit	nejezdilo
jezdit	nejezdily
jezdit	nejezdí
jezdit	nejezdím
jezdit	nejezdíme
horší	nejhoršího
nejistota	nejistot
nejistota	nejistota
nejistota	nejistotu
nejistota	nejistotě
jistý	nejistá
jistý	nejisté
jistý	nejistý
jmenovaný	nejmenované
být	nejsem
nejspíš	nejspíš
vysoko	nejvýš
jíst	nejím
klidný	neklidný
kompromisní	nekompromisní
komunistický	nekomunistické
konat	nekonal
konečný	nekonečnou
konečný	nekonečná
konečný	nekonečné
konečný	nekonečný
konečný	nekonečnými
konečně	nekonečně
konsolidovaný	nekonsolidovaný
koupit	nekoupí
kvalitní	nekvalitní
legální	nelegální
legální	nelegálních
legálně	nelegálně
lidský	nelidských
lineární	nelineární
lákat	nelákalo
lákat	neláká
líbit	nelíbil
líbit	nelíbilo
lítostně	nelítostně
malý	nemalou
malý	nemalé
nemilost	nemilost
mluvit	nemluvím
mluvit	nemluvě
nemoc	nemocem
nemocnost	nemocnosti
nemocný	nemocné
morální	nemorální
movitý	nemovitý
nemožnost	nemožnost
nemožnost	nemožnosti
možný	nemožným
muset	nemuselo
muset	nemusí
muset	nemusíte
muset	nemusíš
myslitelný	nemyslitelná
myslitelný	nemyslitelné
mít	nemám
měnit	neměnil
moci	nemůžou
nabízet	nenabízí
nahradit	nenahradí
napadnout	nenapadne
nastat	nenastal
nastoupit	nenastoupil
naučit	nenaučí
naznačovat	nenaznačuje
nechat	nenechají
nechat	nenechala
nechat	nenechali
nechat	nenechat
nést	nenese
nosit	nenosí
nutit	nenutil
náležet	nenáleží
nápadný	nenápadná
nápadný	nenápadné
nápadný	nenápadný
násilný	nenásilná
násilný	nenásilné
návratně	nenávratně
obchodovat	neobchoduje
objevit	neobjevil
objevit	neobjevily
objevovat	neobjevuje
obsahovat	neobsahoval
obsahovat	neobsahují
obvyklý	neobvyklou
obvyklý	neobvyklá
obvyklý	neobvyklé
obvyklý	neobvyklého
obvyklý	neobvyklých
obvyklý	neobvyklým
obyčejný	neobyčejnou
obyčejný	neobyčejná
ochotně	neochotně
odpovídat	neodpovídají
odradit	neodradilo
odrážet	neodrážejí
odstranit	neodstraní
oficiálně	neoficiálně
omezený	neomezenou
omezený	neomezená
omezený	neomezené
omezený	neomezený
omezený	neomezeným
opodstatněný	neopodstatněné
neopozitivizmus	neopozitivismus
oprávněný	neoprávněné
oprávněný	neoprávněného
oprávněný	neoprávněným
opustit	neopustí
ovlivnit	neovlivnila
oznámit	neoznámila
očekávaný	neočekávané
očekávat	neočekává
oženit	neoženil
padnout	nepadlo
nepaměť	nepaměti
patrný	nepatrnou
patrný	nepatrných
perspektivní	neperspektivní
pít	nepil
neplacení	neplacení
platit	neplatil
neplatič	neplatiči
neplatič	neplatičů
neplatič	neplatičům
platný	neplatná
platný	neplatné
plnit	neplní
neplnění	neplnění
plánovat	neplánuje
nepochopení	nepochopení
pochopitelný	nepochopitelné
pochopitelně	nepochopitelně
pochopit	nepochopí
podepsat	nepodepsal
podepsat	nepodepíše
podléhat	nepodléhají
podobný	nepodobné
podstatný	nepodstatné
pohodlný	nepohodlné
pohybovat	nepohybují
jet	nepojede
jet	nepojedu
pojištěný	nepojištěné
pomoci	nepomohl
pomoci	nepomohlo
pomoci	nepomohou
populární	nepopulární
postavit	nepostaví
potkat	nepotkali
potravinářský	nepotravinářské
potřebovat	nepotřebují
použít	nepoužili
použitelný	nepoužitelné
používat	nepoužívají
považovat	nepovažoval
považovat	nepovažují
povést	nepovedlo
povolaný	nepovolaných
počítat	nepočítají
nepořádek	nepořádek
nepořádek	nepořádku
poškozený	nepoškozené
požadovat	nepožaduje
požádat	nepožádal
pracovat	nepracoval
pracovat	nepracovala
pravdivý	nepravdivá
pravdivý	nepravdivé
pravidelný	nepravidelné
prodloužit	neprodloužíte
produktivní	neproduktivní
prodat	neprodá
prodávat	neprodával
promluvit	nepromluví
prospívat	neprospívá
provést	neprovedla
provozovat	neprovozuje
provádět	neprovádí
prozradit	neprozradil
prozradit	neprozradila
právem	neprávem
ptát	neptal
ptát	neptá
pustit	nepustí
předpokládat	nepředpokládají
předpokládat	nepředpokládal
představitelný	nepředstavitelné
představovat	nepředstavuje
představovat	nepředstavují
přát	nepřejí
překročit	nepřekročí
překvapit	nepřekvapilo
překvapovat	nepřekvapuje
překážet	nepřekážel
nepřesnost	nepřesnosti
nepřesnost	nepřesností
přesný	nepřesné
přesný	nepřesný
přesně	nepřesně
přestávat	nepřestával
přestávat	nepřestává
přežít	nepřežil
přijatelný	nepřijatelná
přijatelný	nepřijatelné
přijatelný	nepřijatelný
přijmout	nepřijme
přijmout	nepřijmou
přijímat	nepřijímá
přiměřený	nepřiměřená
přiměřený	nepřiměřené
přinést	nepřinesla
přinášet	nepřinášejí
připadat	nepřipadá
připouštět	nepřipouští
připouštět	nepřipouštějí
připravený	nepřipravený
přirozeně	nepřirozeně
přistoupit	nepřistoupí
přijít	nepřišla
přijít	nepřišli
přát	nepřála
přátelský	nepřátelskou
přátelský	nepřátelská
přátelský	nepřátelské
přátelský	nepřátelského
přátelský	nepřátelském
přátelský	nepřátelských
nepříjemnost	nepříjemnosti
nepříjemnost	nepříjemností
příjemný	nepříjemná
příjemný	nepříjemné
příjemný	nepříjemného
příjemný	nepříjemných
příjemný	nepříjemným
přímý	nepřímé
přímý	nepřímých
přípustný	nepřípustné
nepřítomnost	nepřítomnost
příznivý	nepříznivé
příznivý	nepříznivého
příznivý	nepříznivý
příznivý	nepříznivých
příznivý	nepříznivým
příznivě	nepříznivě
jít	nepůjdou
jít	nepůjdu
rád	nerada
radostný	neradostné
reagovat	nereagoval
reagovat	nereagovali
reagovat	nereagují
růst	neroste
nerostný	nerostných
nerost	nerostů
rozhodnout	nerozhodl
rozhodnout	nerozhodla
rozhodovat	nerozhoduje
rozumný	nerozumné
rozumět	nerozumí
rozumět	nerozumím
rozumět	nerozumíme
ručit	neručí
rušit	neruší
nervozita	nervozitě
nervózní	nervózní
nervózně	nervózně
neschopnost	neschopnost
schválit	neschválí
sdělit	nesdělil
sedět	nesedí
neshoda	neshod
shodovat	neshoduje
skončit	neskončil
skončit	neskončilo
skutečný	neskutečná
skutečný	neskutečné
skutečný	neskutečný
sloužit	neslouží
smět	nesmím
smět	nesměla
směle	nesměle
snižovat	nesnižuje
nesnáz	nesnází
snášet	nesnáší
snášet	nesnáším
solventní	nesolventních
nesouhlas	nesouhlas
nesouhlas	nesouhlasu
souměrný	nesouměrné
spadnout	nespadl
spát	nespala
specifikovat	nespecifikovala
specifikovaný	nespecifikované
splacený	nesplacených
splnit	nesplnil
splnit	nesplnilo
nesplnění	nesplnění
splňovat	nesplňuje
splňovat	nesplňují
nespokojenost	nespokojenost
spokojený	nespokojených
sporný	nesporná
sporný	nesporné
spočívat	nespočívá
spravedlivý	nespravedlivé
správný	nesprávnou
správný	nesprávná
správný	nesprávné
správný	nesprávného
správný	nesprávném
správný	nesprávnému
správný	nesprávných
nestabilita	nestabilitou
nestabilita	nestabilitu
nestabilita	nestability
stabilní	nestabilní
stát	nestane
stihnout	nestihl
stihnout	nestihla
stát	nestojím
nestálost	nestálost
nestálost	nestálosti
stát	nestály
stálý	nestálý
státní	nestátní
stýkat	nestýkáme
stěžovat	nestěžoval
nesvoboda	nesvobody
svítit	nesvítí
svědčit	nesvědčí
tradiční	netradičním
troufnout	netroufli
troufat	netroufám
trpělivý	netrpělivý
trvat	netrvalo
tušit	netušila
tušit	netušili
tvořit	netvoří
týkat	netýkalo
týkat	netýká
udržet	neudržel
udržitelný	neudržitelné
udělat	neudělá
ukazovat	neukazují
umožňovat	neumožňuje
umět	neumíme
umět	neuměl
umět	neuměla
umět	neuměli
unést	neunesl
upřesnit	neupřesnil
neurologie	neurologie
určený	neurčeným
určitý	neurčitou
určitý	neurčité
uskutečnit	neuskutečnil
uskutečnit	neuskuteční
usnout	neusnu
uspokojivý	neuspokojivé
uspět	neuspěla
neutralita	neutralitu
neutralita	neutrality
neutralita	neutralitě
utrpět	neutrpěla
uvažovat	neuvažuje
uvažovat	neuvažují
neuvedený	neuveden
uvést	neuvedla
uvádět	neuvádí
uvědomit	neuvědomil
uvěřitelný	neuvěřitelnou
uvěřitelný	neuvěřitelná
uvěřitelný	neuvěřitelné
uvěřitelný	neuvěřitelných
uznat	neuznal
učinit	neučiní
vést	nevedl
vést	nevedlo
vést	nevedly
velký	nevelký
veřejný	neveřejné
vhodný	nevhodná
vhodný	nevhodné
vhodný	nevhodných
vhodný	nevhodným
vhodně	nevhodně
vidět	nevidíte
vidět	nevidělo
vidět	neviděly
vinný	nevinnou
vinný	nevinné
vinně	nevinně
vlastní	nevlastního
vlézt	nevlezl
vládní	nevládní
vládní	nevládních
nevole	nevole
nevole	nevoli
nevolnost	nevolnost
vonět	nevoní
vycházet	nevychází
vydržet	nevydrží
vydržet	nevydržím
vydat	nevydá
vyhnutelný	nevyhnutelné
vyhovovat	nevyhovovalo
vyhovovat	nevyhovuje
vyhovující	nevyhovující
vyjadřovat	nevyjadřuje
vykazovat	nevykazují
vyloučit	nevyloučil
vylučovat	nevylučují
vypadat	nevypadala
vyplacený	nevyplacené
vyplacený	nevyplacených
vyplatit	nevyplatilo
vyplatit	nevyplatí
vyplývat	nevyplývá
vypověditelný	nevypověditelné
vyrovnat	nevyrovná
vyskytovat	nevyskytují
vytvářet	nevytváří
využitý	nevyužité
využívat	nevyužívají
vyvinutý	nevyvinuté
vyřešený	nevyřešené
vyřízený	nevyřízené
vyjít	nevyšel
vyjít	nevyšla
vyjít	nevyšlo
vyžadovat	nevyžaduje
vyžadovat	nevyžadují
vyžádaný	nevyžádanou
vyžádaný	nevyžádané
vzít	nevzal
vzít	nevzala
vzít	nevzali
vznikat	nevznikají
vzniknout	nevznikl
vzniknout	nevzniklo
vzniknout	nevznikly
vzniknout	nevznikne
vzpomenout	nevzpomenu
vzpomenout	nevzpomněla
vztahovat	nevztahuje
vídat	nevídám
nevýhoda	nevýhod
výhodný	nevýhodnou
výhodný	nevýhodná
výhodný	nevýhodné
nevýhoda	nevýhodu
výnosný	nevýnosných
výrazný	nevýrazné
výrazný	nevýrazném
vědět	nevěděly
věnovat	nevěnuje
věřit	nevěřili
věřit	nevěřím
všimnout	nevšimne
New	new
zabránit	nezabrání
zabývat	nezabývá
zadržitelně	nezadržitelně
zahrnovat	nezahrnuje
zahrnovat	nezahrnují
zajištěný	nezajištěné
zajištěný	nezajištění
zajímavý	nezajímavé
nezaměstnanost	nezaměstnanost
zanedbatelný	nezanedbatelná
zanedbatelný	nezanedbatelné
nezaplacení	nezaplacení
zaplacený	nezaplacených
zapomenout	nezapomene
zapomenout	nezapomenu
zapomenout	nezapomeňte
zapomenout	nezapomněl
zapomenout	nezapomněli
zapomenout	nezapomnělo
zapomínat	nezapomínají
zapřít	nezapře
zaručovat	nezaručuje
zasahovat	nezasahují
zastavit	nezastaví
zastupitelný	nezastupitelnou
začít	nezačalo
zažít	nezažila
zbýt	nezbude
zbytný	nezbytnou
zbytný	nezbytná
zbytný	nezbytné
zbytný	nezbytných
zbytný	nezbytným
zbytně	nezbytně
zbývat	nezbývalo
zdanitelný	nezdanitelných
zdaněný	nezdaněný
nezdar	nezdarem
nezdar	nezdaru
nezdar	nezdary
ziskový	nezisková
ziskový	neziskové
ziskový	neziskových
zjistit	nezjistí
zklamat	nezklamal
zletilý	nezletilé
zlobit	nezlobte
nezměněný	nezměněn
nezměněný	nezměněna
nezměněný	nezměněno
nezměněný	nezměněny
znát	neznám
znát	neznáme
známý	neznámého
známý	neznámém
známý	neznámému
známý	neznámých
známý	neznámým
zodpovědný	nezodpovědné
způsobit	nezpůsobí
zrušit	nezruší
zveřejnit	nezveřejnila
zveřejnit	nezveřejní
zveřejněný	nezveřejněnou
zvládnout	nezvládl
zvládnout	nezvládla
zvyšovat	nezvyšuje
zvýšit	nezvýší
nezájem	nezájmu
zákonný	nezákonný
zákonný	nezákonných
zákonně	nezákonně
závadný	nezávadné
závislý	nezávislou
závislý	nezávislá
závislý	nezávislé
závislý	nezávislého
závislý	nezávislí
závislý	nezávislým
závislý	nezávislými
záviset	nezávisí
získat	nezískal
získat	nezískala
získat	nezískali
zúčastnit	nezúčastnili
zřídka	nezřídka
zůstat	nezůstal
zůstat	nezůstanou
zůstávat	nezůstává
úměrný	neúměrné
úspěšný	neúspěšnou
úspěšný	neúspěšná
úspěšný	neúspěšné
úspěšný	neúspěšného
úspěšný	neúspěšných
účinný	neúčinné
účtovat	neúčtuje
čekat	nečekají
čekat	nečekal
čekat	nečekali
nečistota	nečistot
říci	neřekla
říci	neřekli
říci	neřeknu
řešitelný	neřešitelný
řídit	neřídí
říkat	neříkají
říkat	neříkalo
říkat	neříkám
jít	nešla
jít	nešli
jít	nešly
šťastný	nešťastnou
šťastný	nešťastná
šťastný	nešťastné
šťastně	nešťastně
železný	neželezných
žít	nežije
žít	nežijou
nic	ničem
nic	ničemu
ničení	ničení
ničit	ničit
nic	ničím
nonius	nonia
Noriega	noriega
norma	normami
norma	normou
norma	normách
normál	normálu
norma	normě
nos	nos
nositel	nositelů
Nova	nova
noviny	novin
noviny	novinami
noviny	noviny
noviny	novinách
noviny	novinám
nováček	nováčci
nováček	nováčka
nováček	nováčkem
nováček	nováčky
nováček	nováčků
nově	nově
nucený	nucen
nucený	nucena
nucený	nuceni
nucený	nuceny
nukleový	nukleové
nutnost	nutností
nájemce	nájemce
nájemné	nájemného
nájemní	nájemních
nájezd	nájezdy
nájem	nájmu
nájem	nájmy
nákladní	nákladní
nákup	nákupech
nákup	nákupy
nákupčí	nákupčích
nákup	nákupů
my	náma
my	námi
náměstkyně	náměstkyně
náplň	náplni
náplň	náplní
náplň	náplně
nápor	náporem
nápor	nápory
násilnost	násilnosti
násilnost	násilností
náskok	náskokem
náskok	náskoku
následovaný	následována
násobek	násobcích
násobek	násobku
násobek	násobky
nástupce	nástupce
nástěnka	nástěnku
nástěnka	nástěnky
násyp	násypu
nátlak	nátlakem
návratnost	návratnosti
návratnost	návratností
návrší	návrší
návštěvnost	návštěvnosti
on	něho
několikaletý	několikaleté
Němec	němec
obchodně	obchodně
obchodovaný	obchodované
obchodovaný	obchodovaných
obchodovaný	obchodován
obchodovaný	obchodovány
obchodování	obchodování
obchodování	obchodováním
obchodující	obchodující
obchodující	obchodujících
obecnost	obecnosti
obecní	obecní
obeznámený	obeznámen
obeznámený	obeznámené
obeznámený	obeznámení
obeznámený	obeznámených
obhospodařování	obhospodařování
obhájce	obhájce
obhájce	obhájci
obhájce	obhájců
obhájkyně	obhájkyně
objasnění	objasnění
objasňovat	objasňuje
objednaný	objednané
objednat	objednat
objednávat	objednávat
objektivita	objektivitu
objemový	objemová
objemový	objemové
objetí	objetí
objevený	objeven
objevený	objevena
objevený	objeveno
objevený	objeveny
objevení	objevení
objevovat	objevovat
obkladový	obkladových
obklad	obkladu
obklad	obklady
obklad	obkladů
obklopený	obklopen
obklopující	obklopujících
obkládačka	obkládačky
obkládání	obkládání
obklíčení	obklíčení
oblečený	oblečen
oblečený	oblečena
oblečený	oblečeni
obligace	obligacemi
obligace	obligací
obligace	obligacích
obligace	obligacím
obložení	obložení
obléknout	oblékne
oblíbit	oblíbili
obnovený	obnoven
obnovený	obnovena
obnovený	obnoveno
obnovený	obnoveny
obnovený	obnovená
obnovení	obnovení
obnovení	obnovením
obohacení	obohacení
obojí	oboje
oborový	oborové
obor	oboru
oboustranně	oboustranně
obracet	obracet
obrození	obrození
obrážet	obráží
obsahový	obsahové
obsahující	obsahující
obsahující	obsahujících
obsazený	obsazen
obsazený	obsazena
obsazený	obsazeny
obsazení	obsazení
obsažený	obsažen
obsažený	obsažena
obsažený	obsaženo
obsažený	obsaženy
obstarávání	obstarávání
obtíž	obtíží
obtěžování	obtěžování
obviněný	obviněn
obviněný	obviněna
obviněný	obviněni
obviněný	obviněného
obvinění	obvinění
obvinění	obviněních
obvinění	obviněním
obávat	obávají
obávat	obávali
občanka	občanku
občan	občanovi
občerstvení	občerstvení
občánek	občánků
oběd	oběda
obří	obřích
obří	obřím
obžalovaný	obžalovaného
obžalovaný	obžalován
obžalovaný	obžalována
obživa	obživu
oceněný	oceněn
oceněný	oceněna
oceněný	oceněno
oceněný	oceněny
oceněný	oceněné
ocenění	ocenění
ocenění	oceněním
oceňovací	oceňovacího
oceňovat	oceňují
ochranka	ochranky
ochranář	ochranářů
ochránce	ochránce
ochránit	ochránit
ochutnat	ochutnat
ocitnout	ocitly
ODA	oda
odbornost	odbornosti
odborník	odborníkovi
odbory	odborům
odbyt	odbyt
odbývat	odbývá
odběr	odběrem
odběr	odběru
odběr	odběry
odběr	odběrů
odchylka	odchylek
odchylka	odchylkou
odchylka	odchylku
odcházet	odcházet
odcizení	odcizení
oddechnout	oddechla
oddálit	oddálit
oddělený	oddělena
oddělení	oddělení
oddělit	oddělit
oddělovat	odděluje
odebraný	odebrán
odebírat	odebírat
odejít	odejít
odevzdaný	odevzdán
odevzdání	odevzdání
odezva	odezvy
odečtení	odečtení
odhad	odhadech
odhadnout	odhadl
odhadnout	odhadli
odhadovaný	odhadovanou
odhadovaný	odhadované
odhadovaný	odhadovaného
odhadovaný	odhadovaných
odhadovaný	odhadovaným
odhadovat	odhadovat
odhadovaný	odhadován
odhad	odhadům
odhalený	odhalen
odhalený	odhalena
odhalený	odhaleny
odhalení	odhalení
odhalovat	odhalovat
odhalovat	odhaluje
odhalovat	odhalují
odhlasovat	odhlasovali
odhodlaný	odhodlán
odhodlaný	odhodláni
odhodlání	odhodlání
odjet	odjet
odkoupení	odkoupením
odkoupit	odkoupila
odkup	odkupech
odkup	odkupem
odkup	odkupu
odkupující	odkupující
odkup	odkupy
odkup	odkupů
odkázat	odkázat
odkázaný	odkázán
odlehčení	odlehčení
odlitek	odlitky
odložený	odložen
odložený	odložena
odložený	odloženo
odložený	odloženou
odložený	odložená
odložený	odložené
odložení	odložení
odložit	odložila
odložit	odložit
odmítat	odmítaly
odmítat	odmítat
odmítnutý	odmítnut
odmítnutí	odmítnutí
odmítnutí	odmítnutím
odmítat	odmítám
odmítat	odmítáme
odmítání	odmítání
odměněný	odměněn
odnést	odnesla
odnášet	odnášeli
odnětí	odnětím
odolnost	odolnosti
odolávat	odolávat
odpadnout	odpadl
odpadní	odpadních
odpisovat	odpisuje
odpis	odpisy
odpis	odpisů
odpolední	odpolední
odporový	odporových
odpovídající	odpovídající
odpověď	odpovědí
odpočinout	odpočinout
odpočet	odpočtu
odpočet	odpočty
odpracovaný	odpracovaných
odpustit	odpustit
odpuštění	odpuštění
odpůrce	odpůrce
odraz	odraz
odrazovat	odrazuje
odrazovat	odrazují
odročený	odročen
odrážející	odrážející
odrůda	odrůd
odrůda	odrůdu
ODS	ods
odsoudit	odsoudit
odsouhlasit	odsouhlasí
odsouzený	odsouzen
odsouzený	odsouzena
odsouzený	odsouzeni
odsouzený	odsouzeny
odstavec	odst
odstavec	odstavce
odstavec	odstavci
odstavec	odstavcích
odstavec	odstavců
odstoupení	odstoupení
odstoupení	odstoupením
odstraněný	odstraněn
odstraněný	odstraněna
odstraněný	odstraněno
odstraněný	odstraněny
odstranění	odstranění
odstraňování	odstraňování
odstrašující	odstrašující
odstup	odstup
odstup	odstupu
odstředivka	odstředivky
odsuzující	odsuzující
odtržení	odtržení
odveta	odvetu
odvodit	odvodit
odvolaný	odvolán
odvolání	odvolání
odvolání	odvoláním
odvolávat	odvolávat
odvozený	odvozen
odvozený	odvozena
odvozený	odvozeno
odvozený	odvozeny
odvození	odvození
odvrácení	odvrácení
odvézt	odvézt
odvíjet	odvíjí
odvětit	odvětila
odzbrojení	odzbrojení
odznak	odznaky
odznak	odznaků
odřeknout	odřekl
odškodnění	odškodnění
odůvodnění	odůvodnění
ohlas	ohlas
ohlásit	ohlásili
ohlásit	ohlásilo
ohlásit	ohlásí
ohlášený	ohlášen
ohodnocený	ohodnoceny
ohodnocený	ohodnocené
ohodnocení	ohodnocení
ohodnocený	ohodnocených
ohodnotit	ohodnotit
ohraničený	ohraničené
ohrazovat	ohrazuje
ohrožený	ohrožen
ohrožený	ohrožena
ohrožený	ohroženi
ohrožený	ohroženo
ohrožený	ohroženy
ohrožení	ohrožení
ohrožovat	ohrožovat
ohrožující	ohrožující
ohánět	ohání
okno	oken
oklamat	oklamat
okrsek	okrsky
okrsek	okrsků
oktáva	oktávu
okupovaný	okupovaném
Oleksy	oleksy
omezený	omezen
omezený	omezena
omezený	omezeno
omezený	omezeny
omezení	omezení
omezovat	omezovat
omezovaný	omezována
omlouvat	omlouvat
omluvený	omluveni
omluvit	omluvit
omrzení	omrzení
omyl	omyl
omyl	omyly
onemocnění	onemocnění
onen	oněm
OOP	oop
opakovaný	opakované
opakovaný	opakovaného
opakovaný	opakovaném
opakovat	opakovat
opakování	opakování
opakující	opakující
opalování	opalování
opat	opata
opat	opatem
opatřený	opatřeny
opatření	opatření
opce	opcemi
opce	opci
opce	opcí
operovaný	operován
operovat	operuje
operátor	operátorů
opevněný	opevněných
oplývat	oplývá
opodstatnění	opodstatnění
opomenutí	opomenutí
opomíjet	opomíjejí
oponentní	oponentní
oponentura	oponentura
oponovat	oponují
oportunista	oportunisté
opotřebení	opotřebení
opouštět	opouštět
opovržení	opovržení
opracování	opracování
opravna	opravny
opravovat	opravovat
opravovat	opravuje
opravovat	opravují
opravňovat	opravňuje
opravňující	opravňující
oprávněný	oprávněn
oprávněný	oprávněna
oprávnění	oprávnění
opírat	opírají
opírat	opírat
opční	opčních
opční	opčního
opětovný	opětovné
opětovný	opětovného
opětovný	opětovném
opětovný	opětovnému
orat	oral
organizovat	organizovat
organizovaný	organizována
organizující	organizující
orientovat	orientovat
orientovaný	orientován
ornament	ornamenty
osamostatnění	osamostatnění
osa	ose
osel	osel
oslabený	oslaben
oslabený	oslabena
oslabení	oslabení
oslabovat	oslabuje
oslabovat	oslabují
oslavit	oslavit
oslavovat	oslavuje
oslovit	oslovil
oslovit	oslovila
oslovit	oslovili
osmiletý	osmileté
osmistěn	osmistěnu
osmička	osmičky
OSN	osn
osobnostní	osobnostní
osa	osou
ospravedlnění	ospravedlnění
ostrůvek	ostrůvek
ostře	ostře
